strikes,date,village,region,year,leaders_killed,leader_names,leader_description,militants_low,militants_high,militants_avg,unknown_low,unknown_high,unknown_avg,civilians_low,civilians_high,civilians_avg,total_low,total_high,total_avg,president_name,president_number,target_type,target_description,target_organization_name,target_group,geo_lat,geo_lon,province,strike_type,Source,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,OBJECTID,PROVINCE_2,DISTRICT,PA
true,10/15/2009,Dandey Darpa Khel,North Waziristan,2009,0,,,4,4,4,,,,,,,4,4,4,Obama,44,Compound,,Haqqani Network,4. Haqqani Network,32.989658,70.030975,Federally Administered Tribal Areas,,BBC,Geo TV,AFP,Reuters,,,,,,,
true,10/21/2009,Spalaga,North Waziristan,2009,1,Abu Musa al Masri,Abu Musa al Masri was an al Qaeda explosive expert and trainer,4,4,4,,,,,,,4,4,4,Obama,44,Unclear,,Al-Qaeda,3. Al-Qaeda,32.8935,69.6955,Federally Administered Tribal Areas,,AFP,Dawn,Dawn,The Australian,,,,,,,
true,10/24/2009,Damadola Bajaur,Khyber Pakhtunkhwa,2009,0,,,15,24,19.5,,,,,,,15,24,19.5,Obama,44,Gathering,"Maulana Faqir Mohammed, Taliban commander of Bajaur",Taliban,1. Taliban,34.818878,71.500397,Khyber Pakhtunkhwa,,CNN,Daily Times,The Nation (Pakistan),,,,,,,,
true,11/5/2009,"Norak, near Mir Ali",North Waziristan,2009,0,,,4,4,4,,,,,,,4,4,4,Obama,44,House,"Musharaf Gul, local militant",Taliban,1. Taliban,33.0116,70.0557,Federally Administered Tribal Areas,,AFP,Geo TV,Dawn,,,,,,,,
true,11/18/2009,"Shanakhora, 12 miles west of Miram Shah",North Waziristan,2009,0,,,4,4,4,,,,,,,4,4,4,Obama,44,Compound,,Taliban,1. Taliban,33.010967,69.831848,Federally Administered Tribal Areas,,Reuters,AFP,Geo TV,,,,,,,,
true,11/20/2009,Palooseen Village in Mir Ali,North Waziristan,2009,0,,,8,8,8,,,,,,,8,8,8,Obama,44,Compound,,Taliban,1. Taliban,33.002331,70.290527,Federally Administered Tribal Areas,,AP,Reuters,Dawn,AFP,,,,,,,
true,12/8/2009,"Aspalga Village, 7 miles southeast of Miram Shah",North Waziristan,2009,1,Saleh al-Somali,Reportedly Saleh al-Somali was an Al Qaeda chief of operations and part of al Qaeda's core leadership cadre.,3,3,3,,,,,,,3,3,3,Obama,44,Vehicle,,Al-Qaeda,3. Al-Qaeda,32.869205,70.133972,Federally Administered Tribal Areas,,CNN,CBS News,New York Times,Dawn,BBC,,,,,,
true,12/17/2009,Deegan village,North Waziristan,2009,0,,,4,14,9,,,,,,,4,14,9,Obama,44,Vehicle,,Taliban,1. Taliban,32.821903,69.979477,Federally Administered Tribal Areas,,BBC,CNN,Geo,AP,Pajhwok,,,,,,
true,12/17/2009,"Godaivalla, in Datta Khel",North Waziristan,2009,1,Zuhaib al-Zahibi,Zuhaib al-Zahibi was an Al Qaeda commander in North Waziristan.,2,2,2,13,16,14.5,,,,15,18,16.5,Obama,44,House,,Al-Qaeda,3. Al-Qaeda,32.989082,69.693146,Federally Administered Tribal Areas,,Washington Post,Aljazeera,Dawn,CNN,,,,,,,
true,12/18/2009,"Babrak Ziarat, near Wazgai village of Datta Khel Tehsil",North Waziristan,2009,0,,,3,8,5.5,,,,,,,3,8,5.5,Obama,44,Funeral,,Taliban,1. Taliban,32.98505,69.739151,Federally Administered Tribal Areas,,The News,Dawn,AFP,,,,,,,,
true,12/26/2009,"Babar Raghzai area of the Saidgi village, 4 miles north of Miram Shah",North Waziristan,2009,0,,,0,0,0,3,14,8.5,0,0,0,3,14,8.5,Obama,44,House,"Asmatullah, local tribesman",Taliban,1. Taliban,33.07716,70.069427,Federally Administered Tribal Areas,,AP,AFP,AJE,Nation,,,,,,,
true,12/31/2009,"Machi Khel, 20 km west of Miram Shah",North Waziristan,2009,1,Haji Omar Khan,Taliban commander in Mir Ali,1,1,1,2,4,3,,,,3,5,4,Obama,44,Compound,"Karim Khan, local tribesman",Al-Qaeda,3. Al-Qaeda,33.009815,69.808502,Federally Administered Tribal Areas,,Dawn,CNN,Christian Science Monitor,,,,,,,,
true,1/1/2010,"Ghundikala village, 15 km east of Miram Shah, in Mir Ali Tehsil",North Waziristan,2010,0,,,2,3,2.5,,,,,,,2,3,2.5,Obama,44,Vehicle,,Unclear,7. Unclear,32.994267,70.207443,Federally Administered Tribal Areas,,Geo TV,Reuters,Dawn,,,,,,,,
true,1/3/2010,"Mosakki village, 25 km east of Miram Shah, in Mir Ali Tehsil",North Waziristan,2010,0,,,2,2,2,0,0,0,0,0,0,2,2,2,Obama,44,House,"Sadiq Noor, tribesman",Unclear,7. Unclear,32.997723,70.342026,Federally Administered Tribal Areas,,Geo Pakistan,Brunei Times,,,,,,,,,
true,1/6/2010,Sanzali area of Datta Khel,North Waziristan,2010,0,,,5,25,15,,,,,,,5,25,15,Obama,44,Gathering,,Taliban,1. Taliban,32.983898,69.75769,Federally Administered Tribal Areas,,AFP,AP,Dawn,,,,,,,,
true,1/8/2010,"Tapi Village, near Miram Shah",North Waziristan,2010,0,,,3,8,5.5,,,,,,,3,8,5.5,Obama,44,Unclear,Hafiz Gul Bahadar militants,Taliban,1. Taliban,33.003483,70.015182,Federally Administered Tribal Areas,,AFP,AP,CNN,Geo,,,,,,,
true,1/9/2010,Ismael Khel in Datta Khel region,North Waziristan,2010,1,Jamal Saeed Abdul Rahim,Jamal Saeed Abdul Rahim was on the FBI's most wanted list for his role in the 1986 hijacking of PanAm Flight 73.,4,4,4,,,,,,,4,4,4,Obama,44,Compound,,Unclear,7. Unclear,32.991962,69.730911,Federally Administered Tribal Areas,,New York Times,CNN,BBC,Dawn,,,,,,,
true,1/14/2010,Shaktoi village in the Pasalkot region,North Waziristan,2010,0,,,11,18,14.5,,,,,,,11,18,14.5,Obama,44,Compound,,Taliban,1. Taliban,32.669147,70.156975,Federally Administered Tribal Areas,,BBC,dawn,tribune,nytimes,aljazeera,,,,,,
true,1/15/2010,"Zanini Village, near Mir Ali",North Waziristan,2010,0,,,3,5,4,,,,,,,3,5,4,Obama,44,Training camp,Hakimullah Mehsud,Taliban,1. Taliban,32.940117,70.296021,Federally Administered Tribal Areas,,AFP,Geo,Dawn,,,,,,,,
true,1/15/2010,"Bichi village, Mirkhwanai area, near Shaktoi",North Waziristan,2010,0,,,3,6,4.5,,,,,,,3,6,4.5,Obama,44,Compound,,Taliban,1. Taliban,32.667992,70.144958,Federally Administered Tribal Areas,,dawn,BBC,,,,,,,,,
true,1/17/2010,"Nizba Village, Shaktoi region",South Waziristan,2010,4,"Shahid ullah, Hafiz Nizamuddin Storikhel, Khawarey and Mohtaj.",All four are described as Taliban commanders.,12,20,16,,,,,,,12,20,16,Obama,44,Compound,,Islamic Movement of Uzbekistan,5. Islamic Movement of Uzbekistan,32.659031,70.150452,Federally Administered Tribal Areas,,AJE,WSJ,Reuters,Zee News,Dawn,,,,,,
true,1/19/2010,"Deegan, 18 miles west of Miram Shah",North Waziristan,2010,0,,,3,6,4.5,,,,,,,3,6,4.5,Obama,44,Compound,,Haqqani Network,4. Haqqani Network,32.972958,69.700012,Federally Administered Tribal Areas,,AP,GEODawn,CNN,,,,,,,,
true,1/29/2010,"Muhammad Khel, Datta Khel",North Waziristan,2010,0,,,5,15,10,,,,,,,5,15,10,Obama,44,Compound,,Haqqani Network,4. Haqqani Network,33.001755,69.713058,Federally Administered Tribal Areas,,AFP,AP,BBC,NYT,,,,,,,
true,2/2/2010,"Toor Narai village, Datta Khel, 30km west of Miram Shah",North Waziristan,2010,0,,,2,7,4.5,,,,,,,2,7,4.5,Obama,44,Training camp,,Taliban,1. Taliban,32.9989,69.9534,Federally Administered Tribal Areas,,Dawn,Geo,AJE,,,,,,,,
true,2/2/2010,Pai Khel,North Waziristan,2010,0,,,2,7,4.5,,,,,,,2,7,4.5,Obama,44,Training camp,,Taliban,1. Taliban,33.0023,69.8696,Federally Administered Tribal Areas,,Dawn,Geo,AJE,,,,,,,,
true,2/2/2010,Muhammad Khel,North Waziristan,2010,0,,,2,7,4.5,,,,,,,2,7,4.5,Obama,44,Training camp,,Taliban,1. Taliban,32.5725,69.5306,Federally Administered Tribal Areas,,Dawn,Geo,AJE,,,,,,,,
true,2/2/2010,"Deegan, 18 miles west of Miram Shah",North Waziristan,2010,0,,,4,8,6,,,,,,,4,8,6,Obama,44,Training camp,,Taliban,1. Taliban,32.976414,69.728165,Federally Administered Tribal Areas,,Dawn,Geo,AJE,,,,,,,,
true,2/14/2010,Mir Ali,North Waziristan,2010,0,,,8,9,8.5,,,,,,,8,9,8.5,Obama,44,Compound,militant collaborator Khanadan Khan Dawar,Unclear,7. Unclear,32.963161,70.241776,Federally Administered Tribal Areas,,NYT,CNN,AFP,Reuters,,,,,,,
true,2/15/2010,"Tapi Village, 9 miles east of Miram Shah",North Waziristan,2010,0,,,3,4,3.5,,,,,,,3,4,3.5,Obama,44,Vehicle,,Al-Qaeda,3. Al-Qaeda,32.987354,70.280914,Federally Administered Tribal Areas,,AP,Reuters,AFP,,,,,,,,
true,2/17/2010,"Tabi Tolkhel, 3 miles from Khost border OR Tapi, 9 miles east of Miram Shah",North Waziristan,2010,1,Shaikh Mansoor,al Qaeda militant assigned for anti NATO attacks in Afghanistan,2,4,3,,,,,,,2,4,3,Obama,44,Compound,,Taliban,1. Taliban,32.997723,70.18959,Federally Administered Tribal Areas,,Dawn,Reuters,,CNN,Sakaa Times,,,,,,
true,2/18/2010,"Dandey Darpa Khel, near Miram Shah",North Waziristan,2010,1,Mohammad Haqqani,"Mohammed Haqqani was a mid-level Haqqani network commander and son of Jalaluddin Haqqani, the head of the group. His brother Sirajuddin was the intended target of the attack.",3,4,3.5,,,,,,,3,4,3.5,Obama,44,Compound,,Haqqani Network,4. Haqqani Network,33.015572,70.052605,Federally Administered Tribal Areas,,AFP,AP,Dawn/AFP,WSJ,Reuters,,,,,,
true,2/24/2010,"Dargi Mandi, 2.5 miles north of Miram Shah",North Waziristan,2010,1,Qari Mohammad Zafar,"Commander, Pakistani Taliban and leader of the Fedayeen-i-Islam.",4,14,9,,,,,,,4,14,9,Obama,44,House and Vehicle,"Reprotedly, three missiles slammed into a compound and a vehicle in the Dargah Mandi area of the North Waziristan.",Haqqani Network,4. Haqqani Network,33.042629,70.061188,Federally Administered Tribal Areas,,Zee News,CNN,Boston,Times of India,BBC,New York Times,,,,,
true,3/8/2010,Maley Khan Sirai area of Miram Shah,North Waziristan,2010,1,Hussein al-Yemeni,"Sadam Hussein Al Hussami, also known as Ghazwan Al-Yemeni/Hussein al-Yemeni. Al-Qaeda planner and facilitator in tribal areas of Pakistan.",5,5,5,,,,,,,5,5,5,Obama,44,Compound,,Al-Qaeda,3. Al-Qaeda,33.005783,70.090027,Federally Administered Tribal Areas,,CNN,MSNBC,Xinhua,Reuters,Washington Post,Dawn,,,,,
true,3/10/2010,"Mizar Madakhel, 25-31 miles west of Miram Shah",North Waziristan,2010,0,,,12,21,16.5,,,,,,,12,21,16.5,Obama,44,Vehicle,,Unclear,7. Unclear,32.997147,69.616241,Federally Administered Tribal Areas,,Geo,AFP,AP,AJE,,,,,,,
true,3/16/2010,"Datta Khel, 12 miles west of Miram Shah",North Waziristan,2010,0,,,5,8,6.5,3,3,3,,,,8,11,9.5,Obama,44,Compound,Hafiz Gul Bahadar militants,Taliban,1. Taliban,32.991386,69.742584,Federally Administered Tribal Areas,,BBC,AFP,AJE,The News,,,,,,,
true,3/17/2010,"Mada Khel, 25 miles west of Miram Shah",North Waziristan,2010,0,,,3,6,4.5,,,,,,,3,6,4.5,Obama,44,Vehicle,Hafiz Gul Bahadar militants,Taliban,1. Taliban,32.995995,69.625854,Federally Administered Tribal Areas,,BBC,AJE,Reuters,Geo,AFP:,,,,,,
true,3/17/2010,"Hamzoni, 6 miles west of Miram Shah",North Waziristan,2010,0,,,3,5,4,,,,,,,3,5,4,Obama,44,Vehicle,Hafiz Gul Bahadar militants,Taliban,1. Taliban,33.013271,69.938965,Federally Administered Tribal Areas,,BBC,AJE,Geo,Reuters,AFP:,,,,,,
true,3/21/2010,Lowari Mandi area of Datta Khel,North Waziristan,2010,0,,,5,8,6.5,,,,,,,5,8,6.5,Obama,44,Compound,,Haqqani Network,4. Haqqani Network,32.995995,69.682159,Federally Administered Tribal Areas,,CNN,AP,Dawn,,,,,,,,
true,3/23/2010,"Machis, outskirts of Miram Shah",North Waziristan,2010,0,,,4,6,5,,,,,,,4,6,5,Obama,44,Compound,,Unclear,7. Unclear,32.985626,70.054321,Federally Administered Tribal Areas,,CNN,AP,AFP,,,,,,,,
true,3/28/2010,"Hurmaz, near Mir Ali",North Waziristan,2010,0,,,4,4,4,,,,,,,4,4,4,Obama,44,House,,Unclear,7. Unclear,32.96777,70.253448,Federally Administered Tribal Areas,,AFP,AP,Reuters,The News,,,,,,,
true,3/31/2010,"Tapi Village, 13 miles east of Miram Shah",North Waziristan,2010,0,,,4,6,5,,,,,,,4,6,5,Obama,44,Compound,,Unclear,7. Unclear,32.997147,70.302887,Federally Administered Tribal Areas,,CNN,AFP,AP,Reuters,,,,,,,
true,4/12/2010,"Boya village, 12 miles west of Miram Shah",North Waziristan,2010,0,,,0,0,0,5,13,9,,,,5,13,9,Obama,44,Compound,"Tariq Khan, local Taliban commander",Taliban,1. Taliban,33.024784,69.823608,Federally Administered Tribal Areas,,AP,Geo,AFP,Geo,,,,,,,
true,4/14/2010,"Ambur Shaga Village, 15 miles west of Miram Shah",North Waziristan,2010,0,,,3,5,4,,,,,,,3,5,4,Obama,44,Vehicle,,Unclear,7. Unclear,33.004059,69.752197,Federally Administered Tribal Areas,,BBC,AP,AFP,Geo,,,,,,,
true,4/16/2010,"Toorkhel, suburbs of Miram Shah",North Waziristan,2010,0,,,4,6,5,,,,,,,4,6,5,Obama,44,Vehicle,,Unclear,7. Unclear,32.998299,70.119553,Federally Administered Tribal Areas,,AFP,AP,The News,Dawn,,,,,,,
true,4/24/2010,"Machi Khel, 12 miles east of Miram Shah",North Waziristan,2010,0,,,7,8,7.5,,,,,,,7,8,7.5,Obama,44,Compound,,Unclear,7. Unclear,32.978718,70.327606,Federally Administered Tribal Areas,,CNN,Geo,AP,Geo,,,,,,,
true,4/26/2010,"Khushali Toorkhel, 15 miles east of Miram Shah",North Waziristan,2010,0,,,4,6,5,,,,,,,4,6,5,Obama,44,House,,Unclear,7. Unclear,32.972958,70.350952,Federally Administered Tribal Areas,,Geo,AFP,AP,Reuters,B,,,,,,
true,5/3/2010,"Marsi Khel, near Mir Ali",North Waziristan,2010,0,,,2,6,4,,,,,,,2,6,4,Obama,44,Vehicle,,Unclear,7. Unclear,32.990234,70.315933,Federally Administered Tribal Areas,,AP,Dawn,Geo/AP,,,,,,,,
true,5/9/2010,"Inzarkas village, Datta Khel",North Waziristan,2010,0,,,6,10,8,,,,,,,6,10,8,Obama,44,Compound,,Unclear,7. Unclear,32.997147,69.672546,Federally Administered Tribal Areas,,Reuters,AP,AFP,Geo,BB,,,,,,
true,5/11/2010,"Gorwek, near Afghan border",North Waziristan,2010,0,,,7,10,8.5,,,,,,,7,10,8.5,Obama,44,Compound,,Unclear,7. Unclear,32.994267,69.558563,Federally Administered Tribal Areas,,Reuters,AP,Geo,NYT,,,,,,,
true,5/11/2010,"Doga area, Datta Khel",North Waziristan,2010,0,,,14,14,14,,,,,,,14,14,14,Obama,44,Compound,,Unclear,7. Unclear,32.995995,69.704819,Federally Administered Tribal Areas,,Reuters,AP,AJE,Geo,,,,,,,
true,5/15/2010,"Ragha area, Tirah Valley",Khyber,2010,0,,,3,13,8,2,2,2,0,0,0,5,15,10,Obama,44,House,,Unclear,7. Unclear,33.881817,70.85907,Khyber Pakhtunkhwa,,Daily Times,The News,AP,,,,,,,,
true,5/21/2010,Asadabad village of Muhammad Khel area of Datta Khel,North Waziristan,2010,1,"Mustafa Abu Yazid, aka Saeed al-Masri",Al Qaeda's financial chief and top commander in Afghanistan.,3,6,4.5,1,,0.5,5,6,5.5,9,12,10.5,Obama,44,Compound,Hafiz Gul Bahadar militants,Taliban,1. Taliban,32.989082,69.716492,Federally Administered Tribal Areas,,Dawn,BBC,ABC,CNN,Reuters,Atlantic,,,,,
true,5/28/2010,"Mizai Nari, 38 km west of Wana",South Waziristan,2010,0,,,8,12,10,,,,,,,8,12,10,Obama,44,Compound,,Taliban,1. Taliban,32.292938,69.304504,Federally Administered Tribal Areas,,Dawn,Nation,,,,,,,,,
true,6/10/2010,"Khaddi village, nine miles east of Miram Shah",North Waziristan,2010,0,,,2,3,2.5,,,,,,,2,3,2.5,Obama,44,Compound,,Unclear,7. Unclear,32.97987,70.287094,Federally Administered Tribal Areas,,AP,AFP,Reuters,Geo,,,,,,,
true,6/11/2010,"Datta Khel, 12 miles west of Miram Shah",North Waziristan,2010,0,,,8,9,8.5,,,,,,,8,9,8.5,Obama,44,House,Hafiz Gul Bahadar militants,Taliban,1. Taliban,32.997147,69.656754,Federally Administered Tribal Areas,,AP,AFP,Geo,Dawn,,,,,,,
true,6/19/2010,"Sokhel village, 16 miles east of Miram Shah",North Waziristan,2010,1,Abu Ahmed Arkash/Abu Ahmad Tarkash,An al Qaeda leader.,11,16,13.5,,,,,,,11,16,13.5,Obama,44,Gathering,,Al-Qaeda,3. Al-Qaeda,32.981022,70.293274,Federally Administered Tribal Areas,,The News,ET,BBC,AP,Xinhua,Dawn,,,,,
true,6/26/2010,"Khushali Khel, Mir Ali,",North Waziristan,2010,0,,,2,3,2.5,,,,,,,2,3,2.5,Obama,44,House,"Hameedullah, linked to Hafiz Gul Bahadur",Taliban,1. Taliban,32.974686,70.278168,Federally Administered Tribal Areas,,Geo,Daily Times,ET,AP,,,,,,,
true,6/27/2010,"Tabbi Tolkhel, 4 km north of Miram Shah",North Waziristan,2010,0,,,2,6,4,,,,,,,2,6,4,Obama,44,Compound,,Unclear,7. Unclear,33.021908,70.072174,Federally Administered Tribal Areas,,Daily Times,ET,AP,,,,,,,,
true,6/29/2010,"Lamal village, near Karikot, 6 miles SW of Wana",South Waziristan,2010,1,Hamza al-Jufi,"Hamza al-Jufi, AQ commander and reportedly the leader of the militant group Jundullah.",6,10,8,,,,,,,6,10,8,Obama,44,House,Maulana Halimullah,Al-Qaeda,3. Al-Qaeda,32.234295,69.530411,Federally Administered Tribal Areas,,Dawn,New York Times,Reuters,BBC,Express Tribune,,,,,,
true,7/15/2010,"Sheerani, Mada Khel",North Waziristan,2010,0,,,5,12,8.5,2,2,2,0,0,0,7,14,10.5,Obama,44,Compound,,Unclear,7. Unclear,32.995419,69.77211,Federally Administered Tribal Areas,,AP,BBC,CNN,AFP,,,,,,,
true,7/24/2010,"Dwasarak village, 25 miles west of Wana, near Angoor Adda",South Waziristan,2010,0,,,16,18,17,,,,,,,16,18,17,Obama,44,Compound,Maulana Halimullah,Unclear,7. Unclear,32.45068,69.277039,Federally Administered Tribal Areas,,Geo,BBC,AP,CNN,,,,,,,
true,7/25/2010,Landikhel area of Sararogha,South Waziristan,2010,0,,,4,4,4,,,,,,,4,4,4,Obama,44,Unclear,,Taliban,1. Taliban,32.49297,70.037155,Federally Administered Tribal Areas,,BBC,Dawn,,,,,,,,,
true,7/25/2010,"Tabbi Tolkhel, 4 km north of Miram Shah",North Waziristan,2010,0,,,4,7,5.5,,,,,,,4,7,5.5,Obama,44,Compound,,Unclear,7. Unclear,33.027664,70.069427,Federally Administered Tribal Areas,,BBC,Daily Times/AP,CNN,Dawn,,,,,,,
true,7/25/2010,Shaktoi village in the Pasalkot region,South Waziristan,2010,0,,,4,14,9,,,,,,,4,14,9,Obama,44,Vehicle,Maulana Halimullah,Taliban,1. Taliban,32.66597,70.161438,Federally Administered Tribal Areas,,BBC,Daily Times/AP,CNN,Nation,,,,,,,
true,8/14/2010,"Issori, 13 miles east of Miram Shah",North Waziristan,2010,1,Amir Moawia,TTP commander,7,7,7,5,7,6,0,0,0,12,14,13,Obama,44,Compound,,Taliban,1. Taliban,32.990234,70.31868,Federally Administered Tribal Areas,,BBC,AP,Christian Science Monitor,Dawn,Tribune,,VOA,,,,
true,8/21/2010,"Kutabkhel village, 3 km south of Miram Shah",North Waziristan,2010,0,,,4,6,5,,,,,,,4,6,5,Obama,44,Vehicle,,Unclear,7. Unclear,32.983898,70.059128,Federally Administered Tribal Areas,,Geo,Daily Times,AP,AFP,,,,,,,
true,8/23/2010,Derga Mandy,North Waziristan,2010,0,,,5,5,5,,,,,,,5,5,5,Obama,44,Compound,,Unclear,7. Unclear,33.0155,70.056,Federally Administered Tribal Areas,,,,,,,,,,,,
true,8/23/2010,Danday Darpa Khel,North Waziristan,2010,0,,,0,13,6.5,0,0,0,7,7,7,7,20,13.5,Obama,44,Compound,,Haqqani Network,4. Haqqani Network,33.028816,70.046082,Federally Administered Tribal Areas,,Reuters,Dawn,,,,,,,,,
true,8/27/2010,"Shahidano village, 62 miles southwest of Peshawar",Kurram,2010,0,,,3,4,3.5,,,,,,,3,4,3.5,Obama,44,Vehicle,,Haqqani Network,4. Haqqani Network,33.680923,70.41687,Federally Administered Tribal Areas,,CNN,AFP,AP,Geo,,,,,,,
true,9/3/2010,"Datta Khel, 12 miles west of Miram Shah",North Waziristan,2010,0,,,2,7,4.5,,,,,,,2,7,4.5,Obama,44,Vehicle,,Unclear,7. Unclear,32.994267,69.777603,Federally Administered Tribal Areas,,AP,Geo,Dawn,ET:,,,,,,,
true,9/3/2010,Machis Factory area on outskirts of Miram Shah,North Waziristan,2010,0,,,5,25,15,,,,,,,5,25,15,Obama,44,House,,Unclear,7. Unclear,33.018452,70.098953,Federally Administered Tribal Areas,,AP,Geo,Dawn,ET:,,,,,,,
true,9/4/2010,Datta Khel,North Waziristan,2010,0,,,4,8,6,,,,,,,4,8,6,Obama,44,House,,Unclear,7. Unclear,32.983898,69.751511,Federally Administered Tribal Areas,,CNN,Dawn,AP,,,,,,,,
true,9/4/2010,near Miramshah,North Waziristan,2010,0,,,5,6,5.5,,,,,,,5,6,5.5,Obama,44,House,,Unclear,7. Unclear,33.0047,70.0675,Federally Administered Tribal Areas,,,,,,,,,,,,
true,9/6/2010,"Khar Qamar, a village in Datta Khel",North Waziristan,2010,0,,,3,6,4.5,,,,,,,3,6,4.5,Obama,44,Vehicle,,Unclear,7. Unclear,32.977566,69.711685,Federally Administered Tribal Areas,,CNN,Dawn,,,,,,,,,
true,9/8/2010,"Ambor Shaga on Dattakhel Road, near the border",North Waziristan,2010,0,,,4,4,4,,,,,,,4,4,4,Obama,44,Vehicle,,Unclear,7. Unclear,32.996571,69.526291,Federally Administered Tribal Areas,,CNN,,,,,,,,,,
true,9/8/2010,Dargha Mandi at Ghulam Khan Road area,North Waziristan,2010,0,,,4,6,5,,,,,,,4,6,5,Obama,44,Compound,,Unclear,7. Unclear,32.995419,70.015182,Federally Administered Tribal Areas,,CNN,,,,,,,,,,
true,9/8/2010,Danday Darpakhel,North Waziristan,2010,0,,,10,10,10,,,,,,,10,10,10,Obama,44,House,Maulvi Azizullah,Haqqani Network,4. Haqqani Network,33.027664,70.017242,Federally Administered Tribal Areas,,CNN,Geo Pakistan,,,,,,,,,
true,9/9/2010,Outskirts of Miram Shah,North Waziristan,2010,0,,,4,6,5,,,,,,,4,6,5,Obama,44,Compound,,Unclear,7. Unclear,33.008087,70.061874,Federally Administered Tribal Areas,,Geo,AP,,,,,,,,,
true,9/12/2010,Datta Khel,North Waziristan,2010,0,,,4,6,5,,,,,,,4,6,5,Obama,44,House,Hafiz Gul Bahadar militants,Taliban,1. Taliban,32.986202,69.685593,Federally Administered Tribal Areas,,AJE,Dawn/AFP,,,,,,,,,
true,9/14/2010,"Bushnarai village, Shawal",North Waziristan,2010,0,,,7,12,9.5,,,,,,,7,12,9.5,Obama,44,Militantcompound,,Unclear,7. Unclear,33.021908,69.656754,Federally Administered Tribal Areas,,AP,Pajhwok,Geo,AFP,,,,,,,
true,9/14/2010,"Qutabkhel village, a southern suburb of Miranshah",North Waziristan,2010,1,Saifullah Haqqani,"Saifullah, Siraj Haqqani's cousin. and a militant commander",4,4,4,,,,,,,4,4,4,Obama,44,Vehicle,,Haqqani Network,4. Haqqani Network,32.98505,70.076981,Federally Administered Tribal Areas,,Tribune,CNN,Dawn,,,,,,,,
true,9/15/2010,Payekhel village of Dattakhel district,North Waziristan,2010,0,,,4,7,5.5,,,,,,,4,7,5.5,Obama,44,Compound,,Unclear,7. Unclear,33.008663,69.76181,Federally Administered Tribal Areas,,Dawn,CSM,,,,,,,,,
true,9/15/2010,"Dargah Mandi, outskirts of Miram Shah",North Waziristan,2010,0,,,11,14,12.5,,,,,,,11,14,12.5,Obama,44,Compound,,Haqqani Network,4. Haqqani Network,33.02018,70.029602,Federally Administered Tribal Areas,,AFP,AP,Dawn/AFP,,,,,,,,
true,9/19/2010,"Deghan, Datta Khel,",North Waziristan,2010,0,,,4,5,4.5,,,,,,,4,5,4.5,Obama,44,Vehicle,,Unclear,7. Unclear,32.974972,69.686279,Federally Administered Tribal Areas,,AP,AFP,ET,,,,,,,,
true,9/20/2010,"Darazinda village, 25 miles northeast of Miram Shah",North Waziristan,2010,0,,,8,9,8.5,,,,,,,8,9,8.5,Obama,44,Motorcycle,,Unclear,7. Unclear,33.070827,69.701385,Federally Administered Tribal Areas,,AP,AFP,,,,,,,,,
true,9/21/2010,"Azam Warsak, 6 miles NW of Wana",South Waziristan,2010,0,,,5,7,6,,,,,,,5,7,6,Obama,44,Funeral,,Taliban,1. Taliban,32.344002,69.66568,Federally Administered Tribal Areas,,AFP,Reuters,CNN,AJE,,,,,,,
true,9/21/2010,"Khund, South Waziristan border with Afghanistan",South Waziristan,2010,0,,,6,7,6.5,,,,,,,6,7,6.5,Obama,44,Vehicle,Maulvi Nazir militants,Taliban,1. Taliban,32.46806,69.300385,Federally Administered Tribal Areas,,AFP,Reuters,CNN,AJE,,,,,,,
true,9/25/2010,"Datta Khel, 12 miles west of Miram Shah",North Waziristan,2010,1,"Shaikh al-Fatah, also known as Abdul Razzak","Al Qaeda's operational commander in Pakistan,",3,4,3.5,,,,,,,3,4,3.5,Obama,44,Vehicle,,Al-Qaeda,3. Al-Qaeda,32.987354,69.66774,Federally Administered Tribal Areas,,BBC,BBC,CNN,Reuters,,,,,,,
true,9/26/2010,"Tarmanu Road, 31 miles west of Miram Shah",North Waziristan,2010,0,,,5,5,5,,,,,,,5,5,5,Obama,44,Vehicle,,Unclear,7. Unclear,32.979294,69.664307,Federally Administered Tribal Areas,,AFP,BBC,ET,AP,,,,,,,
true,9/26/2010,Lawara Mandi area of Datta Khel,North Waziristan,2010,0,,,3,4,3.5,,,,,,,3,4,3.5,Obama,44,House,,Unclear,7. Unclear,32.978718,69.6698,Federally Administered Tribal Areas,,AFP,BBC,ET,AP,,,,,,,
true,9/26/2010,Sherani area of Datta Khel,North Waziristan,2010,0,,,3,4,3.5,,,,,,,3,4,3.5,Obama,44,Vehicle,,Haqqani Network,4. Haqqani Network,32.987354,69.66774,Federally Administered Tribal Areas,,,,,,,,,,,,
true,9/27/2010,"Khush Hali, southeast of Miram Shah",North Waziristan,2010,0,,,2,4,3,,,,,,,2,4,3,Obama,44,Compound,,Unclear,7. Unclear,32.98505,70.014153,Federally Administered Tribal Areas,,AFP,Dawn/AFP,AP,,,,,,,,
true,9/28/2010,"Zeba village, west of Wana",South Waziristan,2010,0,,,4,4,4,,,,,,,4,4,4,Obama,44,Compound,,Unclear,7. Unclear,32.472694,69.274979,Federally Administered Tribal Areas,,AP,Dawn/AFP,,,,,,,,,
